pathogen,k,f1_qda,f1_std,f1_v4,delta_v4
Alternaria solani,2,0.7114,0.0714,0.702,0.0094
Alternaria solani,3,0.2548,0.1446,0.702,-0.4472
Alternaria solani,4,0.2784,0.0808,0.702,-0.4236
Alternaria solani,5,0.3889,0.1775,0.702,-0.3131
Alternaria solani,6,0.6044,0.0511,0.702,-0.0976
Globodera spp,3,0.6797,0.0341,0.6952,-0.0155
Globodera spp,4,0.6901,0.03,0.6952,-0.0051
Globodera spp,5,0.6896,0.0326,0.6952,-0.0056
Globodera spp,6,0.6431,0.0248,0.6952,-0.0521
Leptinotarsa decemlineata,3,0.6357,0.0328,0.6598,-0.0241
Leptinotarsa decemlineata,4,0.6254,0.0338,0.6598,-0.0344
Leptinotarsa decemlineata,5,0.6349,0.0179,0.6598,-0.0249
Leptinotarsa decemlineata,6,0.6399,0.0337,0.6598,-0.0199
Meloidogyne javanica,2,0.5769,0.1303,0.7137,-0.1368
Pectobacterium carotovorum,3,0.5385,0.0673,0.6243,-0.0858
Pectobacterium carotovorum,4,0.5951,0.0663,0.6243,-0.0292
Pectobacterium carotovorum,5,0.615,0.0407,0.6243,-0.0093
Pectobacterium carotovorum,6,0.6108,0.0518,0.6243,-0.0135
Phytophthora infestans,3,0.6768,0.0117,0.69,-0.0132
Phytophthora infestans,4,0.6879,0.0157,0.69,-0.0021
Phytophthora infestans,5,0.6819,0.0097,0.69,-0.0081
Phytophthora infestans,6,0.6547,0.0233,0.69,-0.0353
Potato virus A,3,0.6138,0.011,0.6384,-0.0246
Potato virus A,4,0.6335,0.0159,0.6384,-0.0049
Potato virus A,5,0.6294,0.0256,0.6384,-0.009
Potato virus A,6,0.6048,0.0302,0.6384,-0.0336
Potato virus Y,2,0.6593,0.0,0.6619,-0.0026
Potato virus Y,3,0.6467,0.0184,0.6619,-0.0152
Potato virus Y,4,0.6664,0.015,0.6619,0.0045
Potato virus Y,5,0.6737,0.0068,0.6619,0.0118
Potato virus Y,6,0.6496,0.0159,0.6619,-0.0123
Ralstonia solanacearum,2,0.7129,0.0,0.6663,0.0466
Ralstonia solanacearum,3,0.6411,0.0313,0.6663,-0.0252
Ralstonia solanacearum,4,0.6755,0.034,0.6663,0.0092
Ralstonia solanacearum,5,0.6733,0.0432,0.6663,0.007
Ralstonia solanacearum,6,0.6533,0.0353,0.6663,-0.013
Spongospora subterranea,3,0.4517,0.0602,0.6511,-0.1994
Spongospora subterranea,4,0.4359,0.1402,0.6511,-0.2152
Spongospora subterranea,5,0.4732,0.0683,0.6511,-0.1779
Spongospora subterranea,6,0.5797,0.044,0.6511,-0.0714
Streptomyces scabies,2,0.6695,0.0,0.6729,-0.0034
Streptomyces scabies,3,0.6506,0.026,0.6729,-0.0223
Streptomyces scabies,4,0.6578,0.0079,0.6729,-0.0151
Streptomyces scabies,5,0.6566,0.0073,0.6729,-0.0163
Streptomyces scabies,6,0.6357,0.0298,0.6729,-0.0372
Synchytrium endobioticum,3,0.67,0.0134,0.6811,-0.0111
Synchytrium endobioticum,4,0.6835,0.0174,0.6811,0.0024
Synchytrium endobioticum,5,0.6673,0.025,0.6811,-0.0138
Synchytrium endobioticum,6,0.5782,0.0633,0.6811,-0.1029
