pathogen,model,f1_mean,f1_std,n_folds,is_new,rank
Alternaria solani,GaussianNB,0.6858,0.0199,5,False,1
Alternaria solani,SVC,0.6856,0.0528,5,False,2
Alternaria solani,ExtraTreesClassifier,0.673,0.039,5,True,3
Alternaria solani,KNeighborsClassifier,0.6605,0.0151,5,False,4
Alternaria solani,RandomForestClassifier,0.6538,0.0421,5,False,5
Globodera spp,GaussianNB,0.6984,0.0315,5,False,1
Globodera spp,QuadraticDiscriminantAnalysis,0.6895,0.0323,5,True,2
Globodera spp,SVC,0.6821,0.0223,5,False,3
Globodera spp,NuSVC,0.6792,0.0319,5,False,4
Globodera spp,CatBoostClassifier,0.6656,0.0299,5,True,5
Leptinotarsa decemlineata,GaussianNB,0.6424,0.0316,5,False,1
Leptinotarsa decemlineata,QuadraticDiscriminantAnalysis,0.6273,0.0272,5,True,2
Leptinotarsa decemlineata,SVC,0.6198,0.0112,5,False,3
Leptinotarsa decemlineata,NuSVC,0.61,0.0189,5,False,4
Leptinotarsa decemlineata,KNeighborsClassifier,0.607,0.0294,5,False,5
Meloidogyne javanica,GaussianNB,0.6869,0.0693,5,False,1
Meloidogyne javanica,KNeighborsClassifier,0.6807,0.0433,5,False,2
Meloidogyne javanica,CatBoostClassifier,0.6795,0.0656,5,True,3
Meloidogyne javanica,XGBClassifier,0.6781,0.1145,5,True,4
Meloidogyne javanica,SVC,0.6655,0.1426,5,False,5
Pectobacterium carotovorum,LinearSVC,0.6231,0.0419,5,True,1
Pectobacterium carotovorum,GaussianNB,0.619,0.037,5,False,2
Pectobacterium carotovorum,LogisticRegression,0.6141,0.0436,5,False,3
Pectobacterium carotovorum,NearestCentroid,0.6115,0.0336,5,True,4
Pectobacterium carotovorum,LinearDiscriminantAnalysis,0.6115,0.0336,5,True,5
Phytophthora infestans,QuadraticDiscriminantAnalysis,0.6804,0.0156,5,True,1
Phytophthora infestans,KNeighborsClassifier,0.6764,0.0103,5,False,2
Phytophthora infestans,GaussianNB,0.6727,0.0154,5,False,3
Phytophthora infestans,SVC,0.6703,0.0163,5,False,4
Phytophthora infestans,NuSVC,0.6527,0.0121,5,False,5
Potato virus A,QuadraticDiscriminantAnalysis,0.6335,0.0159,5,True,1
Potato virus A,GaussianNB,0.6248,0.0149,5,False,2
Potato virus A,SVC,0.6063,0.0179,5,False,3
Potato virus A,KNeighborsClassifier,0.6007,0.035,5,False,4
Potato virus A,CatBoostClassifier,0.5978,0.0127,5,True,5
Potato virus Y,QuadraticDiscriminantAnalysis,0.6664,0.015,5,True,1
Potato virus Y,GaussianNB,0.6468,0.0065,5,False,2
Potato virus Y,SVC,0.6362,0.0117,5,False,3
Potato virus Y,NuSVC,0.619,0.0296,5,False,4
Potato virus Y,KNeighborsClassifier,0.6161,0.019,5,False,5
Ralstonia solanacearum,QuadraticDiscriminantAnalysis,0.6799,0.0382,5,True,1
Ralstonia solanacearum,GaussianNB,0.6657,0.0309,5,False,2
Ralstonia solanacearum,KNeighborsClassifier,0.6353,0.0172,5,False,3
Ralstonia solanacearum,SVC,0.6345,0.0205,5,False,4
Ralstonia solanacearum,ExtraTreesClassifier,0.6322,0.0243,5,True,5
Spongospora subterranea,KNeighborsClassifier,0.6518,0.0799,5,False,1
Spongospora subterranea,GaussianNB,0.6428,0.0429,5,False,2
Spongospora subterranea,SVC,0.6403,0.0267,5,False,3
Spongospora subterranea,ExtraTreesClassifier,0.5923,0.02,5,True,4
Spongospora subterranea,NuSVC,0.5628,0.04,5,False,5
Streptomyces scabies,QuadraticDiscriminantAnalysis,0.6591,0.0108,5,True,1
Streptomyces scabies,GaussianNB,0.6475,0.015,5,False,2
Streptomyces scabies,KNeighborsClassifier,0.6378,0.0149,5,False,3
Streptomyces scabies,SVC,0.6314,0.0192,5,False,4
Streptomyces scabies,CatBoostClassifier,0.6306,0.0289,5,True,5
Synchytrium endobioticum,SVC,0.6877,0.0179,5,False,1
Synchytrium endobioticum,QuadraticDiscriminantAnalysis,0.6835,0.0174,5,True,2
Synchytrium endobioticum,GaussianNB,0.6741,0.0193,5,False,3
Synchytrium endobioticum,CatBoostClassifier,0.6675,0.0306,5,True,4
Synchytrium endobioticum,ExtraTreesClassifier,0.6597,0.0296,5,True,5
