Patogeno,Tipo,K,Modelo,F1,F1_std,Precisao,Precisao_std,Recall,Recall_std,ROC_AUC,ROC_AUC_std,Acuracia,Acuracia_std,MCC,MCC_std
Alternaria solani,Fungo,3,GaussianNB,0.6689,0.0805,0.6704,0.0827,0.6692,0.0855,0.7516,0.0738,0.6675,0.0878,0.3362,0.1761
Globodera spp,Nematoide,4,GaussianNB,0.6992,0.0253,0.6386,0.0312,0.773,0.0201,0.7301,0.0142,0.667,0.0324,0.3416,0.064
Leptinotarsa decemlineata,Inseto,4,GaussianNB,0.6688,0.01,0.5884,0.0072,0.776,0.0329,0.6421,0.0174,0.6162,0.0065,0.246,0.0126
Meloidogyne javanica,Nematoide,2,KNN,0.6577,0.0636,0.5166,0.0652,0.9133,0.0827,0.5167,0.1263,0.5211,0.1004,0.0149,0.2468
Pectobacterium carotovorum,Bacteria,4,LogisticRegression,0.5938,0.0511,0.5806,0.0387,0.6089,0.0666,0.6141,0.0427,0.5858,0.041,0.1722,0.0821
Phytophthora infestans,Oomiceto,2,SVC_RBF,0.685,0.0119,0.631,0.0244,0.7504,0.0165,0.6978,0.0137,0.6546,0.0224,0.3152,0.0422
Potato virus A,Virus,2,GaussianNB,0.6431,0.031,0.5584,0.0237,0.7587,0.0469,0.6139,0.0338,0.5796,0.0324,0.1712,0.0697
Potato virus Y,Virus,5,QDA,0.6707,0.0129,0.5749,0.0144,0.8057,0.0248,0.6479,0.023,0.6045,0.0181,0.2284,0.0377
Ralstonia solanacearum,Bacteria,5,QDA,0.6493,0.0452,0.5935,0.0386,0.7174,0.0571,0.648,0.0429,0.6134,0.046,0.2324,0.0938
Spongospora subterranea,Protista,4,GaussianNB,0.6781,0.0692,0.6152,0.0956,0.7676,0.0803,0.6617,0.1094,0.631,0.0919,0.2737,0.1808
Streptomyces scabies,Actinobacteria,4,QDA,0.6841,0.0396,0.6164,0.0436,0.7708,0.0497,0.6903,0.0608,0.6438,0.0477,0.2978,0.0951
Synchytrium endobioticum,Fungo,3,GaussianNB,0.6544,0.0255,0.6086,0.0345,0.7122,0.0545,0.6714,0.0413,0.6243,0.0329,0.2534,0.0634
