pathogen,k,classifier,n_positive,n_total,n_features,f1_mean,f1_std,roc_mean,n_folds
Alternaria solani,2,LogisticRegression,78,312,16,0.4424,0.0498,0.5977,5
Alternaria solani,2,RandomForest,78,312,16,0.4364,0.1107,0.6794,5
Alternaria solani,2,ExtraTrees,78,312,16,0.439,0.1375,0.725,5
Alternaria solani,2,AdaBoost,78,312,16,0.425,0.0472,0.6825,5
Alternaria solani,2,GradientBoosting,78,312,16,0.4832,0.048,0.7091,5
Alternaria solani,2,XGBoost,78,312,16,0.4581,0.0561,0.6741,5
Alternaria solani,2,CatBoost,78,312,16,0.4743,0.103,0.6826,5
Alternaria solani,2,SVC_RBF,78,312,16,0.5034,0.1089,0.7573,5
Alternaria solani,2,NuSVC,78,312,16,0.5042,0.1152,0.7526,5
Alternaria solani,2,BernoulliNB,78,312,16,0.4654,0.0959,0.6504,5
Alternaria solani,2,GaussianNB,78,312,16,0.4903,0.0744,0.7392,5
Alternaria solani,2,KNN,78,312,16,0.4729,0.0519,0.6728,5
Alternaria solani,2,MLP,78,312,16,0.4531,0.0859,0.7088,5
Alternaria solani,3,LogisticRegression,78,312,64,0.3902,0.091,0.5891,5
Alternaria solani,3,RandomForest,78,312,64,0.3669,0.1752,0.6939,5
Alternaria solani,3,ExtraTrees,78,312,64,0.3424,0.1557,0.7393,5
Alternaria solani,3,AdaBoost,78,312,64,0.4589,0.0571,0.7104,5
Alternaria solani,3,GradientBoosting,78,312,64,0.4507,0.1124,0.7137,5
Alternaria solani,3,XGBoost,78,312,64,0.4972,0.0896,0.7019,5
Alternaria solani,3,CatBoost,78,312,64,0.3929,0.1355,0.7007,5
Alternaria solani,3,SVC_RBF,78,312,64,0.405,0.0967,0.7439,5
Alternaria solani,3,NuSVC,78,312,64,0.4316,0.1083,0.7499,5
Alternaria solani,3,BernoulliNB,78,312,64,0.4583,0.0875,0.6384,5
Alternaria solani,3,GaussianNB,78,312,64,0.4753,0.0572,0.7526,5
Alternaria solani,3,KNN,78,312,64,0.4216,0.0094,0.6311,5
Alternaria solani,3,MLP,78,312,64,0.3615,0.1314,0.6397,5
Alternaria solani,4,LogisticRegression,78,312,256,0.3942,0.0507,0.5782,5
Alternaria solani,4,RandomForest,78,312,256,0.3888,0.1069,0.7158,5
Alternaria solani,4,ExtraTrees,78,312,256,0.4694,0.1689,0.7652,5
Alternaria solani,4,AdaBoost,78,312,256,0.4603,0.1573,0.6956,5
Alternaria solani,4,GradientBoosting,78,312,256,0.4608,0.0919,0.6696,5
Alternaria solani,4,XGBoost,78,312,256,0.4608,0.0863,0.6551,5
Alternaria solani,4,CatBoost,78,312,256,0.4765,0.0945,0.68,5
Alternaria solani,4,SVC_RBF,78,312,256,0.4958,0.1215,0.7448,5
Alternaria solani,4,NuSVC,78,312,256,0.484,0.1197,0.7527,5
Alternaria solani,4,BernoulliNB,78,312,256,0.4093,0.042,0.6203,5
