pathogen,k,model_type,f1,status
Alternaria solani,5,GaussianNB,0.5295,OK
Globodera spp,2,SVC_RBF,0.4899,OK
Leptinotarsa decemlineata,5,GaussianNB,0.4559,OK
Meloidogyne javanica,5,GaussianNB,0.5781,OK
Pectobacterium carotovorum,6,LogisticRegression,0.4347,OK
Phytophthora infestans,2,SVC_RBF,0.4745,OK
Potato virus A,2,SVC_RBF,0.428,OK
Potato virus Y,4,GaussianNB,0.4533,OK
Ralstonia solanacearum,4,GaussianNB,0.4485,OK
Spongospora subterranea,3,KNN,0.4212,OK
Streptomyces scabies,6,KNN,0.4528,OK
Synchytrium endobioticum,3,NuSVC,0.4807,OK
