pathogen,k,model_type,f1,f1_std,n_pos,n_neg
Alternaria solani,2,GaussianNB,0.6628,0.0676,78,78
Alternaria solani,2,BernoulliNB,0.5818,0.0598,78,78
Alternaria solani,2,SVC_RBF,0.7342,0.094,78,78
Alternaria solani,2,NuSVC,0.7447,0.062,78,78
Alternaria solani,2,LogisticRegression,0.5928,0.0271,78,78
Alternaria solani,2,KNN,0.6801,0.0431,78,78
Alternaria solani,2,RandomForest,0.6407,0.0957,78,78
Alternaria solani,2,MLP,0.7152,0.0372,78,78
Alternaria solani,3,GaussianNB,0.6799,0.0749,78,78
Alternaria solani,3,BernoulliNB,0.6091,0.0436,78,78
Alternaria solani,3,SVC_RBF,0.542,0.1101,78,78
Alternaria solani,3,NuSVC,0.5432,0.1084,78,78
Alternaria solani,3,LogisticRegression,0.6006,0.0223,78,78
Alternaria solani,3,KNN,0.6853,0.0416,78,78
Alternaria solani,3,RandomForest,0.6699,0.0822,78,78
Alternaria solani,3,MLP,0.6451,0.0505,78,78
Alternaria solani,4,GaussianNB,0.6996,0.0451,78,78
Alternaria solani,4,BernoulliNB,0.5767,0.1074,78,78
Alternaria solani,4,SVC_RBF,0.7195,0.0562,78,78
Alternaria solani,4,NuSVC,0.7025,0.0584,78,78
Alternaria solani,4,LogisticRegression,0.5946,0.0571,78,78
Alternaria solani,4,KNN,0.6604,0.0273,78,78
Alternaria solani,4,RandomForest,0.706,0.0798,78,78
Alternaria solani,4,MLP,0.6212,0.0471,78,78
Alternaria solani,5,GaussianNB,0.7132,0.0969,78,78
Alternaria solani,5,BernoulliNB,0.5807,0.1111,78,78
Alternaria solani,5,SVC_RBF,0.7156,0.088,78,78
Alternaria solani,5,NuSVC,0.6819,0.0955,78,78
Alternaria solani,5,LogisticRegression,0.6473,0.0441,78,78
Alternaria solani,5,KNN,0.6971,0.0244,78,78
Alternaria solani,5,RandomForest,0.7035,0.0776,78,78
Alternaria solani,5,MLP,0.6725,0.0631,78,78
Globodera spp,2,GaussianNB,0.6792,0.0165,533,533
Globodera spp,2,BernoulliNB,0.5712,0.0252,533,533
Globodera spp,2,SVC_RBF,0.6813,0.0156,533,533
Globodera spp,2,NuSVC,0.6792,0.0314,533,533
Globodera spp,2,LogisticRegression,0.5915,0.0285,533,533
Globodera spp,2,KNN,0.6702,0.0247,533,533
Globodera spp,2,RandomForest,0.6225,0.0332,533,533
Globodera spp,2,MLP,0.6098,0.0153,533,533
Globodera spp,3,GaussianNB,0.6991,0.0209,533,533
Globodera spp,3,BernoulliNB,0.5652,0.0432,533,533
Globodera spp,3,SVC_RBF,0.6796,0.0217,533,533
Globodera spp,3,NuSVC,0.6613,0.0114,533,533
Globodera spp,3,LogisticRegression,0.5813,0.0208,533,533
Globodera spp,3,KNN,0.679,0.0074,533,533
Globodera spp,3,RandomForest,0.6189,0.0228,533,533
Globodera spp,3,MLP,0.6221,0.0333,533,533
Globodera spp,4,GaussianNB,0.6919,0.024,533,533
Globodera spp,4,BernoulliNB,0.5525,0.0359,533,533
Globodera spp,4,SVC_RBF,0.6992,0.0148,533,533
Globodera spp,4,NuSVC,0.6837,0.0089,533,533
Globodera spp,4,LogisticRegression,0.5752,0.0194,533,533
Globodera spp,4,KNN,0.6481,0.0253,533,533
Globodera spp,4,RandomForest,0.6451,0.0309,533,533
Globodera spp,4,MLP,0.6089,0.0253,533,533
Globodera spp,5,GaussianNB,0.6895,0.0287,533,533
Globodera spp,5,BernoulliNB,0.5546,0.0184,533,533
Globodera spp,5,SVC_RBF,0.6711,0.0427,533,533
Globodera spp,5,NuSVC,0.665,0.035,533,533
Globodera spp,5,LogisticRegression,0.5887,0.0349,533,533
Globodera spp,5,KNN,0.6478,0.0243,533,533
Globodera spp,5,RandomForest,0.6246,0.0383,533,533
Globodera spp,5,MLP,0.625,0.0178,533,533
Leptinotarsa decemlineata,2,GaussianNB,0.6541,0.0366,598,598
Leptinotarsa decemlineata,2,BernoulliNB,0.5322,0.042,598,598
Leptinotarsa decemlineata,2,SVC_RBF,0.6343,0.0205,598,598
Leptinotarsa decemlineata,2,NuSVC,0.5918,0.0089,598,598
Leptinotarsa decemlineata,2,LogisticRegression,0.5419,0.0272,598,598
Leptinotarsa decemlineata,2,KNN,0.5973,0.0168,598,598
Leptinotarsa decemlineata,2,RandomForest,0.5793,0.015,598,598
Leptinotarsa decemlineata,2,MLP,0.568,0.027,598,598
Leptinotarsa decemlineata,3,GaussianNB,0.6485,0.0244,598,598
Leptinotarsa decemlineata,3,BernoulliNB,0.5412,0.0421,598,598
Leptinotarsa decemlineata,3,SVC_RBF,0.6286,0.0312,598,598
Leptinotarsa decemlineata,3,NuSVC,0.6054,0.0249,598,598
Leptinotarsa decemlineata,3,LogisticRegression,0.5779,0.0178,598,598
Leptinotarsa decemlineata,3,KNN,0.625,0.0287,598,598
Leptinotarsa decemlineata,3,RandomForest,0.556,0.0276,598,598
Leptinotarsa decemlineata,3,MLP,0.5856,0.0225,598,598
Leptinotarsa decemlineata,4,GaussianNB,0.6479,0.0213,598,598
Leptinotarsa decemlineata,4,BernoulliNB,0.5439,0.0365,598,598
Leptinotarsa decemlineata,4,SVC_RBF,0.6208,0.0165,598,598
Leptinotarsa decemlineata,4,NuSVC,0.6149,0.0155,598,598
Leptinotarsa decemlineata,4,LogisticRegression,0.5594,0.0314,598,598
Leptinotarsa decemlineata,4,KNN,0.6233,0.0114,598,598
Leptinotarsa decemlineata,4,RandomForest,0.5883,0.012,598,598
Leptinotarsa decemlineata,4,MLP,0.5733,0.0251,598,598
Leptinotarsa decemlineata,5,GaussianNB,0.6478,0.0224,598,598
Leptinotarsa decemlineata,5,BernoulliNB,0.55,0.0173,598,598
Leptinotarsa decemlineata,5,SVC_RBF,0.6248,0.022,598,598
Leptinotarsa decemlineata,5,NuSVC,0.6156,0.0233,598,598
Leptinotarsa decemlineata,5,LogisticRegression,0.574,0.0363,598,598
Leptinotarsa decemlineata,5,KNN,0.6253,0.0212,598,598
Leptinotarsa decemlineata,5,RandomForest,0.5634,0.0243,598,598
Leptinotarsa decemlineata,5,MLP,0.5638,0.0176,598,598
Meloidogyne javanica,2,GaussianNB,0.6535,0.1154,47,47
Meloidogyne javanica,2,BernoulliNB,0.5559,0.0895,47,47
Meloidogyne javanica,2,SVC_RBF,0.6767,0.12,47,47
Meloidogyne javanica,2,NuSVC,0.6953,0.1011,47,47
Meloidogyne javanica,2,LogisticRegression,0.6482,0.1187,47,47
Meloidogyne javanica,2,KNN,0.7128,0.0314,47,47
Meloidogyne javanica,2,RandomForest,0.6096,0.1453,47,47
Meloidogyne javanica,2,MLP,0.6388,0.0814,47,47
Meloidogyne javanica,3,GaussianNB,0.6762,0.0191,47,47
Meloidogyne javanica,3,BernoulliNB,0.5636,0.192,47,47
Meloidogyne javanica,3,SVC_RBF,0.2953,0.185,47,47
Meloidogyne javanica,3,NuSVC,0.3548,0.1671,47,47
Meloidogyne javanica,3,LogisticRegression,0.5528,0.0676,47,47
Meloidogyne javanica,3,KNN,0.6574,0.0269,47,47
Meloidogyne javanica,3,RandomForest,0.6891,0.066,47,47
Meloidogyne javanica,3,MLP,0.5917,0.059,47,47
Meloidogyne javanica,4,GaussianNB,0.6593,0.0454,47,47
Meloidogyne javanica,4,BernoulliNB,0.5345,0.1637,47,47
Meloidogyne javanica,4,SVC_RBF,0.6336,0.1132,47,47
Meloidogyne javanica,4,NuSVC,0.6259,0.1031,47,47
Meloidogyne javanica,4,LogisticRegression,0.6056,0.0936,47,47
Meloidogyne javanica,4,KNN,0.6663,0.0209,47,47
Meloidogyne javanica,4,RandomForest,0.646,0.0442,47,47
Meloidogyne javanica,4,MLP,0.6333,0.0738,47,47
Meloidogyne javanica,5,GaussianNB,0.6487,0.0447,47,47
Meloidogyne javanica,5,BernoulliNB,0.6094,0.0386,47,47
Meloidogyne javanica,5,SVC_RBF,0.6536,0.1083,47,47
Meloidogyne javanica,5,NuSVC,0.6559,0.1078,47,47
Meloidogyne javanica,5,LogisticRegression,0.6866,0.0498,47,47
Meloidogyne javanica,5,KNN,0.6885,0.0323,47,47
Meloidogyne javanica,5,RandomForest,0.7009,0.0709,47,47
Meloidogyne javanica,5,MLP,0.662,0.0532,47,47
Pectobacterium carotovorum,2,GaussianNB,0.6254,0.0407,192,192
Pectobacterium carotovorum,2,BernoulliNB,0.5766,0.0381,192,192
Pectobacterium carotovorum,2,SVC_RBF,0.5871,0.0562,192,192
Pectobacterium carotovorum,2,NuSVC,0.5745,0.0471,192,192
Pectobacterium carotovorum,2,LogisticRegression,0.5821,0.0477,192,192
Pectobacterium carotovorum,2,KNN,0.5764,0.0327,192,192
Pectobacterium carotovorum,2,RandomForest,0.5783,0.0891,192,192
Pectobacterium carotovorum,2,MLP,0.5547,0.0367,192,192
